Tiempo,"ID de Usuario",Nombre,Apellido,"Numero de tarjeta",Dispositivo,"Punto del evento",Verificacion,Estado,Evento,Notas
"27/07/2026 16:46",4877453,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 16:56",3451406,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"27/07/2026 16:56",3477079,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 16:57",2444368,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:02",8413445,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:04",6841118,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:10",2603302,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"27/07/2026 17:14",9883740,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:16",9222736,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:17",63,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:17",9883740,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:19",2681390,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:21",3441601,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:29",9980093,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:30",3454823,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:30",3346267,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:33",6122699,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:33",9493414,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:33",10909669,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:36",8426729,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:39",6727073,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:42",9902384,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:51",4857842,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:55",9077141,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:57",9253243,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:57",6944783,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 17:58",8328926,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"27/07/2026 17:59",4912081,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 18:06",6878923,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 18:07",6856630,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 18:07",4329942,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 18:09",4478400,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 18:09",6872307,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 18:10",9165320,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"27/07/2026 18:27",9066508,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"27/07/2026 18:28",6862760,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
