Tiempo,"ID de Usuario",Nombre,Apellido,"Numero de tarjeta",Dispositivo,"Punto del evento",Verificacion,Estado,Evento,Notas
"27/07/2026 18:34",8708642,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"27/07/2026 19:18",11,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"27/07/2026 19:19",8,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"28/07/2026 07:51",11,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"28/07/2026 08:12",8708642,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"28/07/2026 08:12",11,,,,Beni,"Sucursal Beni","No disponible","Estado 15","Sin evento",
"28/07/2026 08:30",8,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"28/07/2026 18:43",8708642,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"28/07/2026 18:52",8,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"29/07/2026 07:57",11,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
"29/07/2026 08:07",8708642,,,,Beni,"Sucursal Beni","No disponible",Salida,"Sin evento",
