Tiempo,"ID de Usuario",Nombre,Apellido,"Numero de tarjeta",Dispositivo,"Punto del evento",Verificacion,Estado,Evento,Notas
"27/07/2026 18:39",4,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"27/07/2026 18:51",1,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"27/07/2026 19:18",7281679,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"28/07/2026 07:42",1,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"28/07/2026 08:21",7281679,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"28/07/2026 08:23",4,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"28/07/2026 19:02",7281679,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"28/07/2026 19:03",1,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"28/07/2026 19:03",4,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"29/07/2026 08:02",1,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"29/07/2026 08:25",4,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
"29/07/2026 08:30",7281679,,,,Oruro,"Sucursal Oruro","No disponible",Salida,"Sin evento",
