Tiempo,"ID de Usuario",Nombre,Apellido,"Numero de tarjeta",Dispositivo,"Punto del evento",Verificacion,Estado,Evento,Notas
"27/07/2026 16:46",11397621,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 17:18",5605288,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 17:36",12570317,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 17:40",6307371,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 17:40",12474549,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 17:40",8992637,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 17:45",9698900,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 17:49",9683880,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Sin evento",
"27/07/2026 18:37",9623271,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"27/07/2026 18:39",8237795,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:08",5605288,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:08",11397621,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:11",6307371,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:11",12474549,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:24",12570317,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:24",9698900,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:34",9683880,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:35",9623271,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 08:45",8992637,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 16:49",9698900,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 16:50",11397621,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 16:59",9683880,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 17:39",12570317,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 17:39",8992637,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 17:50",6307371,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 17:50",5605288,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 17:50",12474549,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 17:56",9623271,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"28/07/2026 22:12",8237795,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:38",11397621,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:38",9683880,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:39",8992637,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:39",9698900,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:39",12570317,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:39",9623271,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:43",6307371,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
"29/07/2026 08:43",12474549,,,,"Santa Cruz","Sucursal Santa Cruz","No disponible",Salida,"Evento 5",
