Tiempo,"ID de Usuario",Nombre,Apellido,"Numero de tarjeta",Dispositivo,"Punto del evento",Verificacion,Estado,Evento,Notas
"27/07/2026 18:54",1088070,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"27/07/2026 19:10",7513779,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"27/07/2026 19:22",10403792,,,,Chuquisaca,"Sucursal Sucre","No disponible",Salida,"Apertura remota",
"27/07/2026 19:22",13123678,,,,Chuquisaca,"Sucursal Sucre","No disponible",Salida,"Apertura remota",
"28/07/2026 08:06",7513779,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"28/07/2026 08:27",13123678,,,,Chuquisaca,"Sucursal Sucre","No disponible",Salida,"Apertura remota",
"28/07/2026 08:29",10403792,,,,Chuquisaca,"Sucursal Sucre","No disponible",Salida,"Apertura remota",
"28/07/2026 08:35",1088070,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"28/07/2026 19:17",1088070,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"28/07/2026 19:45",10403792,,,,Chuquisaca,"Sucursal Sucre","No disponible",Salida,"Apertura remota",
"28/07/2026 20:09",13123678,,,,Chuquisaca,"Sucursal Sucre","No disponible",Salida,"Apertura remota",
"28/07/2026 20:42",7513779,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"29/07/2026 07:17",1088070,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"29/07/2026 07:20",7513779,,,,Chuquisaca,"Sucursal Sucre","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:15",10403792,,,,Chuquisaca,"Sucursal Sucre","No disponible",Salida,"Apertura remota",
